CABra ID  	 697
ANA ID    	 60477400
Longitude 	 -47.879   	 dd
Latitude  	 -15.713   	 dd
Area      	 233.39    	 km²
Elevation 	 1166.24   	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1981	     5	    10	      1.459	          1
 1981	     5	    11	      1.670	          1
 1981	     5	    12	      1.765	          1
 1981	     5	    13	      1.639	          1
 1981	     5	    14	      1.130	          1
 1981	     5	    15	      1.290	          1
 1981	     5	    16	      1.733	          1
 1981	     5	    17	      1.670	          1
 1981	     5	    18	      1.518	          1
 1981	     5	    19	      1.459	          1
 1981	     5	    20	      1.430	          1
 1981	     5	    21	      1.373	          1
 1981	     5	    22	      1.373	          1
 1981	     5	    23	      1.345	          1
 1981	     5	    24	      1.345	          1
 1981	     5	    25	      1.055	          1
 1981	     5	    26	      1.290	          1
 1981	     5	    27	      1.459	          1
 1981	     5	    28	      1.430	          1
 1981	     5	    29	      1.402	          1
 1981	     5	    30	      1.235	          1
 1981	     5	    31	      1.235	          1
 1981	     6	     1	      1.209	          1
 1981	     6	     2	      1.209	          1
 1981	     6	     3	      1.235	          1
 1981	     6	     4	      1.373	          1
 1981	     6	     5	      1.262	          1
 1981	     6	     6	      1.317	          1
 1981	     6	     7	      1.862	          1
 1981	     6	     8	      3.101	          1
 1981	     6	     9	      1.548	          1
 1981	     6	    10	      1.030	          1
 1981	     6	    11	      1.156	          1
 1981	     6	    12	      1.518	          1
 1981	     6	    13	      1.459	          1
 1981	     6	    14	      1.235	          1
 1981	     6	    15	      1.209	          1
 1981	     6	    16	      1.209	          1
 1981	     6	    17	      1.262	          1
 1981	     6	    18	      1.156	          1
 1981	     6	    19	      0.843	          1
 1981	     6	    20	      1.488	          1
 1981	     6	    21	      1.235	          1
 1981	     6	    22	      1.262	          1
 1981	     6	    23	      0.934	          1
 1981	     6	    24	      0.578	          1
 1981	     6	    25	      1.079	          1
 1981	     6	    26	      1.105	          1
 1981	     6	    27	      1.488	          1
 1981	     6	    28	      1.402	          1
 1981	     6	    29	      1.156	          1
 1981	     6	    30	      1.030	          1
 1981	     7	     1	      1.079	          1
 1981	     7	     2	      1.079	          1
 1981	     7	     3	      0.934	          1
 1981	     7	     4	      0.911	          1
 1981	     7	     5	      0.865	          1
 1981	     7	     6	      1.797	          1
 1981	     7	     7	      1.765	          1
 1981	     7	     8	      1.430	          1
 1981	     7	     9	      1.182	          1
 1981	     7	    10	      1.130	          1
 1981	     7	    11	      1.156	          1
 1981	     7	    12	      1.130	          1
 1981	     7	    13	      0.821	          1
 1981	     7	    14	      0.799	          1
 1981	     7	    15	      1.105	          1
 1981	     7	    16	      1.209	          1
 1981	     7	    17	      0.615	          1
 1981	     7	    18	      1.209	          1
 1981	     7	    19	      1.030	          1
 1981	     7	    20	      1.182	          1
 1981	     7	    21	      0.865	          1
 1981	     7	    22	      0.911	          1
 1981	     7	    23	      0.911	          1
 1981	     7	    24	      0.777	          1
 1981	     7	    25	      0.888	          1
 1981	     7	    26	      0.865	          1
 1981	     7	    27	      0.821	          1
 1981	     7	    28	      0.634	          1
 1981	     7	    29	      0.523	          1
 1981	     7	    30	      0.777	          1
 1981	     7	    31	      0.843	          1
 1981	     8	     1	      0.506	          1
 1981	     8	     2	      1.156	          1
 1981	     8	     3	      1.105	          1
 1981	     8	     4	      0.735	          1
 1981	     8	     5	      0.489	          1
 1981	     8	     6	      0.843	          1
 1981	     8	     7	      0.957	          1
 1981	     8	     8	      0.911	          1
 1981	     8	     9	      0.654	          1
 1981	     8	    10	      0.843	          1
 1981	     8	    11	      0.865	          1
 1981	     8	    12	      0.821	          1
 1981	     8	    13	      0.489	          1
 1981	     8	    14	      0.911	          1
 1981	     8	    15	      0.799	          1
 1981	     8	    16	      0.799	          1
 1981	     8	    17	      0.821	          1
 1981	     8	    18	      0.888	          1
 1981	     8	    19	      0.843	          1
 1981	     8	    20	      0.596	          1
 1981	     8	    21	      0.596	          1
 1981	     8	    22	      0.821	          1
 1981	     8	    23	      0.957	          1
 1981	     8	    24	      0.615	          1
 1981	     8	    25	      0.654	          1
 1981	     8	    26	      0.654	          1
 1981	     8	    27	      0.578	          1
 1981	     8	    28	      0.578	          1
 1981	     8	    29	      0.777	          1
 1981	     8	    30	      0.735	          1
 1981	     8	    31	      0.756	          1
 1981	     9	     1	      0.541	          1
 1981	     9	     2	      0.799	          1
 1981	     9	     3	      1.130	          1
 1981	     9	     4	      0.843	          1
 1981	     9	     5	      1.030	          1
 1981	     9	     6	      1.130	          1
 1981	     9	     7	      1.518	          1
 1981	     9	     8	      0.654	          1
 1981	     9	     9	      0.654	          1
 1981	     9	    10	      1.518	          1
 1981	     9	    11	      1.262	          1
 1981	     9	    12	      2.105	          1
 1981	     9	    13	      1.797	          1
 1981	     9	    14	      0.888	          1
 1981	     9	    15	      0.888	          1
 1981	     9	    16	      1.030	          1
 1981	     9	    17	      2.057	          1
 1981	     9	    18	      1.701	          1
 1981	     9	    19	      1.578	          1
 1981	     9	    20	      1.488	          1
 1981	     9	    21	      1.290	          1
 1981	     9	    22	      1.209	          1
