CABra ID  	 735
ANA ID    	 87400000
Longitude 	 -51.068   	 dd
Latitude  	 -29.963   	 dd
Area      	 1664.71   	 km²
Elevation 	 55.72     	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1981	     6	     2	      4.717	          1
 1981	     6	     3	     10.693	          1
 1981	     6	     4	     10.377	          1
 1981	     6	     5	     11.667	          1
 1981	     6	     6	     13.742	          1
 1981	     6	     7	     16.373	          1
 1981	     6	     8	     18.390	          1
 1981	     6	     9	     20.314	          1
 1981	     6	    10	     22.605	          1
 1981	     6	    11	     23.508	          1
 1981	     6	    12	     24.792	          1
 1981	     6	    13	     27.427	          1
 1981	     6	    14	     30.347	          1
 1981	     6	    15	     30.743	          1
 1981	     6	    16	     31.542	          1
 1981	     6	    17	     31.542	          1
 1981	     6	    18	     32.752	          1
 1981	     6	    19	     32.145	          1
 1981	     6	    20	     31.142	          1
 1981	     6	    21	     29.755	          1
 1981	     6	    22	     28.389	          1
 1981	     6	    23	     27.236	          1
 1981	     6	    24	     26.665	          1
 1981	     6	    25	     25.910	          1
 1981	     6	    26	     24.607	          1
 1981	     6	    27	     23.508	          1
 1981	     6	    28	     23.146	          1
 1981	     6	    29	     23.508	          1
 1981	     6	    30	     23.508	          1
 1981	     7	     1	     22.785	          1
 1981	     7	     2	     21.010	          1
 1981	     7	     3	     22.069	          1
 1981	     7	     4	     23.508	          1
 1981	     7	     5	     24.239	          1
 1981	     7	     6	     25.163	          1
 1981	     7	     7	     26.476	          1
 1981	     7	     8	     24.977	          1
 1981	     7	     9	     24.239	          1
 1981	     7	    10	     23.508	          1
 1981	     7	    11	     22.785	          1
 1981	     7	    12	     23.873	          1
 1981	     7	    13	     24.977	          1
 1981	     7	    14	     26.476	          1
 1981	     7	    15	     25.349	          1
 1981	     7	    16	     24.977	          1
 1981	     7	    17	     24.977	          1
 1981	     7	    18	     28.003	          1
 1981	     7	    19	     31.944	          1
 1981	     7	    20	     36.474	          1
 1981	     7	    21	     40.109	          1
 1981	     7	    22	     42.521	          1
 1981	     7	    23	     44.081	          1
 1981	     7	    24	     43.857	          1
 1981	     7	    25	     42.965	          1
 1981	     7	    26	     41.200	          1
 1981	     7	    27	     39.459	          1
 1981	     7	    28	     38.598	          1
 1981	     7	    29	     37.743	          1
 1981	     7	    30	     35.844	          1
 1981	     7	    31	     34.390	          1
 1981	     8	     1	     32.347	          1
 1981	     8	     2	     30.347	          1
 1981	     8	     3	     28.777	          1
 1981	     8	     4	     27.618	          1
 1981	     8	     5	     26.665	          1
 1981	     8	     6	     25.723	          1
 1981	     8	     7	     23.873	          1
 1981	     8	     8	     22.965	          1
 1981	     8	     9	     22.069	          1
 1981	     8	    10	     20.835	          1
 1981	     8	    11	     19.229	          1
 1981	     8	    12	     17.166	          1
 1981	     8	    13	     14.104	          1
 1981	     8	    14	     12.340	          1
 1981	     8	    15	     10.852	          1
 1981	     8	    16	      9.608	          1
 1981	     8	    17	      8.297	          1
 1981	     8	    18	      7.476	          1
 1981	     8	    19	      9.014	          1
 1981	     8	    20	      8.580	          1
 1981	     8	    21	      7.211	          1
 1981	     8	    22	      6.823	          1
 1981	     8	    23	      6.200	          1
 1981	     8	    24	      6.322	          1
 1981	     8	    25	      5.606	          1
 1981	     8	    26	      6.200	          1
 1981	     8	    27	     16.178	          1
 1981	     8	    28	     17.570	          1
 1981	     8	    29	     19.229	          1
 1981	     8	    30	     19.442	          1
 1981	     8	    31	     19.018	          1
 1981	     9	     1	     18.808	          1
 1981	     9	     2	     20.314	          1
 1981	     9	     3	     21.361	          1
 1981	     9	     4	     24.056	          1
 1981	     9	     5	     25.349	          1
 1981	     9	     6	     27.618	          1
 1981	     9	     7	     29.559	          1
 1981	     9	     8	     31.944	          1
 1981	     9	     9	     37.743	          1
 1981	     9	    10	     42.521	          1
 1981	     9	    11	     45.659	          1
 1981	     9	    12	     55.340	          1
 1981	     9	    13	     67.070	          1
 1981	     9	    14	     67.766	          1
 1981	     9	    15	     65.692	          1
 1981	     9	    16	     59.084	          1
 1981	     9	    17	     52.344	          1
 1981	     9	    18	     50.599	          1
 1981	     9	    19	     55.953	          1
 1981	     9	    20	     62.329	          1
 1981	     9	    21	     67.766	          1
 1981	     9	    22	     72.775	          1
 1981	     9	    23	     78.025	          1
 1981	     9	    24	     83.521	          1
 1981	     9	    25	     89.270	          1
 1981	     9	    26	     92.670	          1
 1981	     9	    27	     92.670	          1
 1981	     9	    28	     85.138	          1
 1981	     9	    29	     78.795	          1
 1981	     9	    30	     76.500	          1
 1981	    10	     1	     75.745	          1
 1981	    10	     2	     78.795	          1
 1981	    10	     3	     86.775	          1
 1981	    10	     4	     92.670	          1
 1981	    10	     5	     86.775	          1
 1981	    10	     6	     78.025	          1
 1981	    10	     7	     59.084	          1
 1981	    10	     8	     46.680	          1
 1981	    10	     9	     43.634	          1
 1981	    10	    10	     41.200	          1
 1981	    10	    11	     38.384	          1
 1981	    10	    12	     33.159	          1
 1981	    10	    13	     28.583	          1
 1981	    10	    14	     23.327	          1
 1981	    10	    15	     21.185	          1
 1981	    10	    16	     19.625	          1
 1981	    10	    17	     18.390	          1
 1981	    10	    18	     15.983	          1
 1981	    10	    19	     14.287	          1
 1981	    10	    20	     12.684	          1
 1981	    10	    21	     11.834	          1
 1981	    10	    22	     10.852	          1
 1981	    10	    23	      9.608	          1
 1981	    10	    24	      9.014	          1
 1981	    10	    25	      8.438	          1
 1981	    10	    26	      8.157	          1
 1981	    10	    27	      7.610	          1
 1981	    10	    28	      6.951	          1
 1981	    10	    29	      5.491	          1
 1981	    10	    30	      4.100	          1
 1981	    10	    31	      3.525	          1
 1981	    11	     1	      3.807	          1
 1981	    11	     2	      5.042	          1
 1981	    11	     3	      7.476	          1
 1981	    11	     4	     10.066	          1
 1981	    11	     5	     13.032	          1
 1981	    11	     6	     14.471	          1
 1981	    11	     7	     15.983	          1
 1981	    11	     8	     20.314	          1
 1981	    11	     9	     24.423	          1
 1981	    11	    10	     24.423	          1
 1981	    11	    11	     23.873	          1
 1981	    11	    12	     23.146	          1
 1981	    11	    13	     22.069	          1
 1981	    11	    14	     20.314	          1
 1981	    11	    15	     18.808	          1
 1981	    11	    16	     15.983	          1
 1981	    11	    17	     16.178	          1
 1981	    11	    18	     16.178	          1
 1981	    11	    19	     15.983	          1
 1981	    11	    20	     15.218	          1
 1981	    11	    21	     13.563	          1
 1981	    11	    22	     12.002	          1
 1981	    11	    23	      9.458	          1
 1981	    11	    24	      7.745	          1
 1981	    11	    25	      7.745	          1
 1981	    11	    26	      7.081	          1
 1981	    11	    27	      6.446	          1
 1981	    11	    28	      6.079	          1
 1981	    11	    29	      6.570	          1
 1981	    11	    30	      5.606	          1
 1981	    12	     1	      7.081	          1
 1981	    12	     2	      8.157	          1
 1981	    12	     3	      7.881	          1
 1981	    12	     4	      6.570	          1
 1981	    12	     5	      5.491	          1
 1981	    12	     6	      6.570	          1
 1981	    12	     7	      7.745	          1
 1981	    12	     8	      6.696	          1
 1981	    12	     9	      5.377	          1
 1981	    12	    10	      4.611	          1
 1981	    12	    11	      5.491	          1
 1981	    12	    12	      4.824	          1
 1981	    12	    13	      4.506	          1
 1981	    12	    14	      4.200	          1
 1981	    12	    15	      3.903	          1
 1981	    12	    16	      5.152	          1
 1981	    12	    17	      4.824	          1
 1981	    12	    18	      4.301	          1
 1981	    12	    19	      4.100	          1
 1981	    12	    20	      4.200	          1
 1981	    12	    21	      5.840	          1
 1981	    12	    22	      6.951	          1
 1981	    12	    23	      7.211	          1
 1981	    12	    24	      7.476	          1
 1981	    12	    25	      6.446	          1
 1981	    12	    26	      5.264	          1
 1981	    12	    27	      4.001	          1
 1981	    12	    28	      3.343	          1
 1981	    12	    29	      2.825	          1
 1981	    12	    30	      2.582	          1
 1981	    12	    31	      2.825	          1
 1982	     1	     1	      3.807	          1
 1982	     1	     2	      3.618	          1
 1982	     1	     3	      3.525	          1
 1982	     1	     4	      3.253	          1
 1982	     1	     5	      2.662	          1
 1982	     1	     6	      2.582	          1
 1982	     1	     7	      2.743	          1
 1982	     1	     8	      2.743	          1
 1982	     1	     9	      2.503	          1
 1982	     1	    10	      2.503	          1
 1982	     1	    11	      3.078	          1
 1982	     1	    12	      4.200	          1
 1982	     1	    13	      3.343	          1
 1982	     1	    14	      3.165	          1
 1982	     1	    15	      2.825	          1
 1982	     1	    16	      2.908	          1
 1982	     1	    17	      2.503	          1
 1982	     1	    18	      2.908	          1
 1982	     1	    19	      3.078	          1
 1982	     1	    20	      2.426	          1
 1982	     1	    21	      3.343	          1
 1982	     1	    22	      3.253	          1
 1982	     1	    23	      2.743	          1
 1982	     1	    24	      2.743	          1
 1982	     1	    25	      2.743	          1
 1982	     1	    26	      2.743	          1
 1982	     1	    27	      3.433	          1
 1982	     1	    28	      3.618	          1
 1982	     1	    29	      4.100	          1
 1982	     1	    30	      3.253	          1
 1982	     1	    31	      4.200	          1
 1982	     2	     1	      2.582	          1
 1982	     2	     2	      2.350	          1
 1982	     2	     3	      2.426	          1
 1982	     2	     4	      2.743	          1
 1982	     2	     5	      3.807	          1
 1982	     2	     6	      3.343	          1
 1982	     2	     7	      2.582	          1
 1982	     2	     8	      2.503	          1
 1982	     2	     9	      2.503	          1
 1982	     2	    10	      2.503	          1
 1982	     2	    11	      2.426	          1
 1982	     2	    12	      2.503	          1
 1982	     2	    13	      2.582	          1
 1982	     2	    14	      2.662	          1
 1982	     2	    15	      3.525	          1
 1982	     2	    16	      3.343	          1
 1982	     2	    17	      3.343	          1
 1982	     2	    18	      4.717	          1
 1982	     2	    19	      4.824	          1
 1982	     2	    20	      4.824	          1
