CABra ID  	 33
ANA ID    	 16700000
Longitude 	 -55.958   	 dd
Latitude  	 2.226     	 dd
Area      	 818.09    	 km²
Elevation 	 434.17    	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1981	     5	     8	     17.268	          2
 1981	     5	     9	     30.329	          2
 1981	     5	    10	     34.090	          2
 1981	     5	    11	     30.546	          2
 1981	     5	    12	     25.664	          2
 1981	     5	    13	     19.700	          2
 1981	     5	    14	     16.903	          2
 1981	     5	    15	     16.721	          2
 1981	     5	    16	     16.721	          2
 1981	     5	    17	     18.566	          2
 1981	     5	    18	     21.439	          2
 1981	     5	    19	     27.333	          2
 1981	     5	    20	     30.546	          2
 1981	     5	    21	     29.463	          2
 1981	     5	    22	     28.392	          2
 1981	     5	    23	     17.452	          2
 1981	     5	    24	     13.044	          2
 1981	     5	    25	     16.359	          2
 1981	     5	    26	     22.226	          2
 1981	     5	    27	     27.967	          2
 1981	     5	    28	     27.333	          2
 1981	     5	    29	     26.704	          2
 1981	     5	    30	     26.079	          2
 1981	     5	    31	     25.047	          2
 1981	     6	     1	     25.458	          2
 1981	     6	     2	     25.252	          2
 1981	     6	     3	     24.638	          2
 1981	     6	     4	     22.822	          2
 1981	     6	     5	     21.831	          2
 1981	     6	     6	     19.891	          2
 1981	     6	     7	     17.268	          2
 1981	     6	     8	     16.721	          2
 1981	     6	     9	     16.000	          2
 1981	     6	    10	     14.412	          2
 1981	     6	    11	     11.394	          2
 1981	     6	    12	      9.352	          2
 1981	     6	    13	     10.753	          2
 1981	     6	    14	     12.211	          2
 1981	     6	    15	     13.723	          2
 1981	     6	    16	     15.821	          2
 1981	     6	    17	     18.006	          2
 1981	     6	    18	     19.130	          2
 1981	     6	    19	     18.941	          2
 1981	     6	    20	     16.721	          2
 1981	     6	    21	     14.936	          2
 1981	     6	    22	     12.709	          2
 1981	     6	    23	     11.882	          2
 1981	     6	    24	     11.556	          2
 1981	     6	    25	     12.542	          2
 1981	     6	    26	     12.876	          2
 1981	     6	    27	     13.723	          2
 1981	     6	    28	     13.553	          2
 1981	     6	    29	     14.066	          2
 1981	     6	    30	     20.854	          2
 1981	     7	     1	     42.476	          2
 1981	     7	     2	     52.934	          2
 1981	     7	     3	     50.635	          2
 1981	     7	     4	     46.378	          2
 1981	     7	     5	     41.757	          2
 1981	     7	     6	     32.747	          2
 1981	     7	     7	     25.664	          2
 1981	     7	     8	     23.222	          2
 1981	     7	     9	     20.854	          2
 1981	     7	    10	     18.566	          2
 1981	     7	    11	     14.066	          2
 1981	     7	    12	     12.376	          2
 1981	     7	    13	     11.394	          2
 1981	     7	    14	     15.112	          2
 1981	     7	    15	     19.130	          2
 1981	     7	    16	     21.049	          2
 1981	     7	    17	     20.660	          2
 1981	     7	    18	     19.509	          2
 1981	     7	    19	     21.635	          2
 1981	     7	    20	     33.640	          2
 1981	     7	    21	     39.619	          2
 1981	     7	    22	     34.994	          2
 1981	     7	    23	     30.329	          2
 1981	     7	    24	     27.333	          2
 1981	     7	    25	     29.033	          2
 1981	     7	    26	     29.248	          2
 1981	     7	    27	     29.033	          2
 1981	     7	    28	     24.230	          2
 1981	     7	    29	     21.635	          2
 1981	     7	    30	     22.028	          2
 1981	     7	    31	     21.635	          2
 1981	     8	     1	     21.635	          2
 1981	     8	     2	     21.049	          2
 1981	     8	     3	     20.467	          2
 1981	     8	     4	     19.130	          2
 1981	     8	     5	     17.821	          2
 1981	     8	     6	     15.465	          2
 1981	     8	     7	     13.382	          2
 1981	     8	     8	     12.046	          2
 1981	     8	     9	     11.072	          2
 1981	     8	    10	     10.279	          2
 1981	     8	    11	      9.967	          2
 1981	     8	    12	     10.436	          2
 1981	     8	    13	     10.279	          2
 1981	     8	    14	      9.967	          2
 1981	     8	    15	     10.279	          2
 1981	     8	    16	      9.658	          2
 1981	     8	    17	     10.123	          2
 1981	     8	    18	     12.376	          2
 1981	     8	    19	     12.376	          2
 1981	     8	    20	     11.556	          2
 1981	     8	    21	     11.882	          2
 1981	     8	    22	     12.376	          2
 1981	     8	    23	     13.044	          2
 1981	     8	    24	     12.876	          2
 1981	     8	    25	     11.556	          2
 1981	     8	    26	      9.505	          2
 1981	     8	    27	      8.452	          2
 1981	     8	    28	      9.049	          2
 1981	     8	    29	     10.594	          2
 1981	     8	    30	     17.452	          2
